"District","Division","Area","Club","Club Name","New","Late Ren.","Oct. Ren.","Apr. Ren.","Total Ren.","Total Chart","Total to Date","Distinguished Status","Charter Date/Suspend Date"
"31","B","24","00006174","AccelOrators Advanced Toastmasters","2","2","9","9","20","0","22","",""
"31","B","24","00006272","Lexington Toastmasters","8","0","24","25","49","0","57","S",""
"31","B","24","28678250","BBH Beantown Articulators","0","0","0","0","0","21","21","","Charter 06/01/25"
"31","B","25","00002753","Sylvan Speakers Club","2","0","14","14","28","0","30","",""
"31","B","25","03077435","Broadcasters Toastmasters","8","0","17","12","29","0","37","",""
"31","B","25","03163158","Dassault Systemes Boston Campus Toastmasters Club","14","0","29","27","56","0","70","S",""
"31","B","25","07881302","Qlik Orators","4","0","12","13","25","0","29","",""
"31","C","31","01295807","Somerville Toastmasters","31","0","39","38","77","0","108","P",""
"31","C","31","03885194","Winchester Toastmasters","14","0","23","28","51","0","65","D",""
"31","C","31","04025968","Toast Wizards","6","0","13","16","29","0","35","D",""
"31","C","31","07049346","Saturday Toastmasters of Arlington","4","0","14","12","26","0","30","",""
"31","C","32","00006670","Speak Up Cambridge","10","0","10","8","18","0","28","",""
"31","C","32","00977250","Crimson Toastmasters Club","14","1","14","17","32","0","46","D",""
"31","C","32","01928495","Novartis Toastmasters @ Cambridge","2","0","7","4","11","0","13","",""
"31","C","32","28678055","Toast in Common","0","0","0","14","14","21","35","","Charter 10/01/24"
"31","C","33","00007831","Humor And Drama Toastmasters","0","0","10","9","19","0","19","",""
"31","C","33","00008843","Toastmasters @ MIT","7","0","5","6","11","0","18","",""
"31","C","33","00680823","Tuesday Toastmasters at MIT Club","20","4","13","17","34","0","54","D",""
"31","C","33","06423576","Takeda Toastmasters","9","0","14","18","32","0","41","P",""
"31","C","33","28676929","BMS Toastmasters at CMX","14","0","6","10","16","0","30","",""
"31","C","34","04975343","AKAToasts","9","0","16","15","31","0","40","",""
"31","C","34","07032755","Toastmasters Google Cambridge","3","0","8","8","16","0","19","",""
"31","C","34","07301975","The Toastologists","2","0","16","0","16","0","18","",""
"31","C","34","28676919","Moderna-Cambridge","16","0","10","6","16","0","32","",""
"31","C","35","00001867","Talk Of The Town Club","11","1","21","24","46","0","57","D",""
"31","C","35","02263055","Watertown Saturday Toastmasters","6","0","10","10","20","0","26","",""
"31","C","35","06935140","Boston College Toastmasters Club","12","0","19","23","42","0","54","D",""
"31","C","35","07754658","Newton Voices Toastmasters","6","0","19","18","37","0","43","D",""
"31","C","35","28678764","CCC Toastmasters","0","0","0","0","0","30","30","","Charter 06/11/25"
"31","D","41","00001074","Boston Toastmasters","28","0","19","23","42","0","70","D",""
"31","D","41","00003991","Boston Seaport Toastmasters","14","0","11","10","21","0","35","",""
"31","D","41","00006384","John Hancock Club","0","0","0","0","0","0","0","",""
"31","D","41","00006454","Copley Square Toastmasters","4","0","10","11","21","0","25","",""
"31","D","42","00003757","TM at the FRB - Boston Club","10","0","13","13","26","0","36","",""
"31","D","42","02908808","FactMasters","11","0","13","16","29","0","40","",""
"31","D","42","04340726","Toastmasters General","0","0","11","9","20","0","20","",""
"31","D","42","07890364","Quick Toast","0","0","0","0","0","0","0","",""
"31","D","43","07057227","LEADA@Liberty Toastmasters","22","0","23","20","43","0","65","D",""
"31","D","43","07116868","Unified Voices","1","0","8","8","16","0","17","",""
"31","D","43","28676359","Toastmasters@Pier4","2","0","14","11","25","0","27","",""
"31","D","43","28677354","Beantown Toasters Toastmasters","12","0","18","15","33","0","45","",""
"31","D","44","00007625","E.P.A. Club","3","0","18","10","28","0","31","",""
"31","D","44","00008387","Boston Speech Party Toastmasters Club","7","0","8","10","18","0","25","",""
"31","D","44","01971671","Boston University Medical Campus","7","0","4","5","9","0","16","",""
"31","D","44","28675787","East Coast Toastmasters","3","0","31","11","42","31","76","","Charter 09/05/24"
"31","D","45","02389888","Northeastern University Toastmasters","4","0","5","7","12","0","16","",""
"31","D","45","03574270","Advanced Access","3","0","14","16","30","0","33","",""
"31","D","45","03686963","Toast with Friends","9","0","18","19","37","0","46","D",""
"31","D","45","06943872","Optum Tech Toasts","6","0","16","15","31","0","37","",""
"31","E","51","00727120","Village Toastmasters Club","7","1","13","14","28","0","35","",""
"31","E","51","05870865","Unibank Toastmasters","2","0","17","16","33","0","35","",""
"31","E","51","07759162","FLEXcon Toastmasters","0","0","0","0","0","0","0","",""
"31","E","51","28677455","West Coast/Central Toastmasters","8","0","21","11","32","21","61","","Charter 09/05/24"
"31","E","52","00002277","Central Club","2","0","15","11","26","0","28","",""
"31","E","52","00005574","Early Risers Toastmasters Club","1","0","8","8","16","0","17","",""
"31","E","52","00994078","AbbVie Bioresearch Toastmasters","7","0","16","13","29","0","36","",""
"31","E","52","06978693","Seven Hills Advanced Toastmasters","1","0","9","9","18","0","19","",""
"31","E","53","00004495","Paul Revere Toastmasters","9","0","14","12","26","0","35","D",""
"31","E","53","00005414","Articulators Club","2","0","15","16","31","0","33","",""
"31","E","53","05073971","Shrewsbury Toastmasters","24","0","31","29","60","0","84","P",""
"31","E","53","06751480","Otis Street Orators","9","0","15","15","30","0","39","",""
"31","E","54","00003555","Staples Club","20","0","12","12","24","0","44","",""
"31","E","54","00007163","3Talkers Club","7","0","14","14","28","0","35","S",""
"31","E","54","01154970","Speakeasy","2","0","12","14","26","0","28","",""
"31","E","54","05991864","Boroughs Toastmasters","9","0","12","13","25","0","34","D",""
"31","E","55","00002352","Sun Life Club","3","0","11","10","21","0","24","",""
"31","E","55","00003993","Framingham / Natick Toastmasters","15","1","34","27","62","0","77","P",""
"31","E","55","00004735","Boston West Toastmasters Club","17","0","23","26","49","0","66","P",""
"31","E","55","06430390","Metrowest Toastmasters","6","0","14","16","30","0","36","P",""
"31","F","61","00008310","Upper Cape Toastmasters","8","0","21","21","42","0","50","D",""
"31","F","61","01174738","South Coast Toastmasters","6","0","10","12","22","0","28","S",""
"31","F","61","01329712","Outermost Toast","5","0","12","14","26","0","31","",""
"31","F","61","07959859","V.O.L.U.M.E. Toastmasters","5","0","8","9","17","0","22","",""
"31","F","62","00003345","Advanced Orators Club","3","0","12","8","20","0","23","",""
"31","F","62","00004652","Network Voice Club","9","0","18","17","35","0","44","P",""
"31","F","62","01118652","South Shore Toastmasters","12","0","18","16","34","0","46","D",""
"31","F","62","04389390","Amazon Boston Toastmasters","9","0","8","4","12","0","21","",""
"31","F","63","00001625","Achievers Toastmasters Club","7","0","10","11","21","0","28","",""
"31","F","63","00008612","Spirited Speakers","1","0","11","10","21","0","22","",""
"31","F","63","00009771","Fox Vox Club","3","0","8","8","16","0","19","",""
"31","F","63","01576564","Toastmasters in Motion","9","0","16","18","34","0","43","P",""
"31","F","64","00000675","Quincy Toastmasters Club","17","0","32","38","70","0","87","P",""
"31","F","64","00000849","Quannapowitt Toastmasters","3","2","9","8","19","0","22","",""
"31","F","64","00008331","Blue Masters Toastmasters Club","0","0","10","10","20","0","20","",""
"31","F","64","05930724","JP Toastmasters","6","0","17","16","33","0","39","",""
"31","F","65","00002685","Tri-County Talkers Toastmasters Club","10","0","13","10","23","0","33","D",""
"31","F","65","00003926","Norwood Toastmasters Club","14","0","14","20","34","0","48","D",""
"31","F","65","00873714","Point32Health Toastmasters Club","4","0","16","0","16","0","20","",""
"31","F","65","28677456","South East Toastmasters","0","0","22","13","35","22","57","","Charter 09/05/24"
"31","G","71","00000854","Ocean State Club","10","0","13","11","24","0","34","",""
"31","G","71","00843267","FM Toastmasters","5","0","18","12","30","0","35","",""
"31","G","71","00849200","East Coast Toast","2","1","7","7","15","0","17","",""
"31","G","71","01427152","Rhode Island Active Toastmasters","28","0","22","32","54","0","82","P",""
"31","G","72","00001109","Island Foghorns Toastmasters Club","5","0","12","11","23","0","28","P",""
"31","G","72","00001172","Whaling City Club","5","0","12","11","23","0","28","",""
"31","G","72","04750180","Fall River Innovators","4","0","16","15","31","0","35","",""
"31","G","72","28675592","Celldex Toastmasters","3","1","13","13","27","0","30","",""
"31","G","73","00005288","Mutually Speaking Toastmasters Club","0","0","10","8","18","0","18","",""
"31","G","73","00006868","Saturday Brunch Bunch Club","0","0","12","12","24","0","24","",""
"31","G","73","00009556","East Bay Toastmasters Club","12","0","12","15","27","0","39","",""
"31","G","73","07073679","CVS Health Marketing Toastmasters","10","0","22","22","44","0","54","D",""
"31","G","73","28677501","Ocean State Orators","11","0","18","17","35","0","46","",""
"31","G","74","00004641","Speech Invaders Club","10","0","11","15","26","0","36","P",""
"31","G","74","00005464","Voice of Franklin Club","17","0","16","20","36","0","53","D",""
"31","G","74","00743989","Dell EMC Hopkinton","6","0","9","9","18","0","24","D",""
"31","G","74","01257890","Franklin 5","7","0","4","9","13","0","20","",""
"31","G","74","28677736","Ocean State Speaking Network","1","0","20","16","36","0","37","",""
Month of Jun, As of 06/30/2025
