"District","Division","Area","Club","Club Name","New","Late Ren.","Oct. Ren.","Apr. Ren.","Total Ren.","Total Chart","Total to Date","Distinguished Status","Charter Date/Suspend Date"
"31","D","44","00007625","E.P.A. Club","3","0","18","10","28","0","31","",""
"31","D","44","00008387","Boston Speech Party Toastmasters Club","7","0","8","9","17","0","24","",""
"31","D","44","01971671","Boston University Medical Campus","5","0","4","4","8","0","13","",""
"31","D","44","28675787","East Coast Toastmasters","3","0","31","11","42","31","76","","Charter 09/05/24"
"31","D","45","02389888","Northeastern University Toastmasters","4","0","5","7","12","0","16","",""
"31","D","45","03574270","Advanced Access","3","0","14","14","28","0","31","",""
"31","D","45","03686963","Toast with Friends","9","0","18","19","37","0","46","D",""
"31","D","45","06943872","Optum Tech Toasts","6","0","16","15","31","0","37","",""
"31","E","51","00727120","Village Toastmasters Club","7","1","13","13","27","0","34","",""
"31","E","51","05870865","Unibank Toastmasters","2","0","17","16","33","0","35","",""
"31","E","51","07759162","FLEXcon Toastmasters","0","0","0","0","0","0","0","",""
"31","E","51","28677455","West Coast/Central Toastmasters","7","0","21","11","32","21","60","","Charter 09/05/24"
"31","E","52","00002277","Central Club","2","0","15","11","26","0","28","",""
"31","E","52","00005574","Early Risers Toastmasters Club","0","0","8","8","16","0","16","",""
"31","E","52","00994078","AbbVie Bioresearch Toastmasters","1","0","16","13","29","0","30","",""
"31","E","52","06978693","Seven Hills Advanced Toastmasters","1","0","9","9","18","0","19","",""
"31","E","53","00004495","Paul Revere Toastmasters","9","0","14","12","26","0","35","D",""
"31","E","53","00005414","Articulators Club","2","0","15","16","31","0","33","",""
"31","E","53","05073971","Shrewsbury Toastmasters","20","0","31","26","57","0","77","P",""
"31","E","53","06751480","Otis Street Orators","6","0","15","15","30","0","36","",""
"31","E","54","00003555","Staples Club","17","0","12","12","24","0","41","",""
"31","E","54","00007163","3Talkers Club","5","0","14","14","28","0","33","",""
"31","E","54","01154970","Speakeasy","2","0","12","14","26","0","28","",""
"31","E","54","05991864","Boroughs Toastmasters","5","0","12","13","25","0","30","",""
"31","E","55","00002352","Sun Life Club","3","0","11","10","21","0","24","",""
"31","E","55","00003993","Framingham / Natick Toastmasters","15","1","34","27","62","0","77","P",""
"31","E","55","00004735","Boston West Toastmasters Club","15","0","23","26","49","0","64","S",""
"31","E","55","06430390","Metrowest Toastmasters","3","0","14","16","30","0","33","",""
"31","F","61","00008310","Upper Cape Toastmasters","8","0","21","21","42","0","50","D",""
"31","F","61","01174738","South Coast Toastmasters","3","0","10","12","22","0","25","",""
"31","F","61","01329712","Outermost Toast","5","0","12","13","25","0","30","",""
"31","F","61","07959859","V.O.L.U.M.E. Toastmasters","3","0","8","9","17","0","20","",""
"31","F","62","00003345","Advanced Orators Club","0","0","12","8","20","0","20","",""
"31","F","62","00004652","Network Voice Club","7","0","18","17","35","0","42","",""
"31","F","62","01118652","South Shore Toastmasters","10","0","18","16","34","0","44","",""
"31","F","62","04389390","Amazon Boston Toastmasters","5","0","8","4","12","0","17","",""
"31","F","63","00001625","Achievers Toastmasters Club","4","0","10","11","21","0","25","",""
"31","F","63","00008612","Spirited Speakers","1","0","11","9","20","0","21","",""
"31","F","63","00009771","Fox Vox Club","2","0","8","8","16","0","18","",""
"31","F","63","01576564","Toastmasters in Motion","9","0","16","18","34","0","43","P",""
"31","F","64","00000675","Quincy Toastmasters Club","16","0","32","38","70","0","86","P",""
"31","F","64","00000849","Quannapowitt Toastmasters","3","2","9","8","19","0","22","",""
"31","F","64","00008331","Blue Masters Toastmasters Club","0","0","10","10","20","0","20","",""
"31","F","64","05930724","JP Toastmasters","6","0","17","16","33","0","39","",""
"31","F","65","00002685","Tri-County Talkers Toastmasters Club","6","0","13","9","22","0","28","",""
"31","F","65","00003926","Norwood Toastmasters Club","12","0","14","20","34","0","46","",""
"31","F","65","00873714","Point32Health Toastmasters Club","4","0","16","0","16","0","20","",""
"31","F","65","28677456","South East Toastmasters","0","0","22","13","35","22","57","","Charter 09/05/24"
"31","G","71","00000854","Ocean State Club","8","0","13","11","24","0","32","",""
"31","G","71","00843267","FM Toastmasters","4","0","18","10","28","0","32","",""
"31","G","71","00849200","East Coast Toast","2","1","7","7","15","0","17","",""
"31","G","71","01427152","Rhode Island Active Toastmasters","26","0","22","29","51","0","77","P",""
"31","G","72","00001109","Island Foghorns Toastmasters Club","2","0","12","11","23","0","25","",""
"31","G","72","00001172","Whaling City Club","3","0","12","10","22","0","25","",""
"31","G","72","04750180","Fall River Innovators","4","0","16","13","29","0","33","",""
"31","G","72","28675592","Celldex Toastmasters","3","1","13","13","27","0","30","",""
"31","G","73","00005288","Mutually Speaking Toastmasters Club","0","0","10","8","18","0","18","",""
"31","G","73","00006868","Saturday Brunch Bunch Club","0","0","12","11","23","0","23","",""
"31","G","73","00009556","East Bay Toastmasters Club","9","0","12","15","27","0","36","",""
"31","G","73","07073679","CVS Health Marketing Toastmasters","10","0","22","22","44","0","54","",""
"31","G","73","28677501","Ocean State Orators","9","0","18","16","34","0","43","",""
"31","G","74","00004641","Speech Invaders Club","9","0","11","15","26","0","35","S",""
"31","G","74","00005464","Voice of Franklin Club","15","0","16","20","36","0","51","",""
"31","G","74","00743989","Dell EMC Hopkinton","4","0","9","9","18","0","22","",""
"31","G","74","01257890","Franklin 5","6","0","4","9","13","0","19","",""
"31","G","74","28677736","Ocean State Speaking Network","1","0","20","16","36","0","37","",""
Month of Apr, As of 05/01/2025
