District,Division,Area,Club Number,Club Name,Club Status,Mem. Base,Active Members,Goals Met,Level 1s,Level 2s,Add. Level 2s,Level 3s,"Level 4s, Level 5s, or DTM award","Add. Level 4s, Level 5s, or DTM award",New Members,Add. New Members,Off. Trained Round 1,Off. Trained Round 2,Mem. dues on time Oct,Mem. dues on time Apr,Off. List On Time,Club Distinguished Status
31,B,21,8753,Twin City Club,Active,9,11,3,0,0,0,0,0,0,4,4,1,1,1,1,1,
31,B,22,4031,Chelmsford Toastmasters Club,Active,16,20,9,5,2,0,2,1,1,4,7,5,5,1,1,1,P
31,B,22,2078400,Mill City Toastmasters,Active,16,10,2,1,1,0,0,0,0,2,0,6,7,1,1,1,
31,B,22,3550659,New Life Toastmasters Club,Active,16,13,7,4,2,1,1,1,4,4,1,4,5,1,1,1,
31,B,22,7958590,Share the Spark,Active,20,21,2,0,0,0,0,0,0,4,2,1,3,1,1,1,
31,B,23,2201,Hanscom Toastmasters Club,Active,16,16,4,1,2,0,1,0,0,4,0,5,5,1,1,1,
31,B,23,3981,Alcott Toastmasters,Active,19,22,5,3,2,0,1,0,0,4,12,6,6,1,1,1,D
31,B,23,909842,Lincoln Laboratory Toastmasters Club,Active,15,13,5,1,2,0,1,1,0,4,0,4,5,1,1,1,
31,B,23,1528212,Energy Talks,Active,14,15,2,0,0,0,0,0,0,3,0,5,5,1,1,1,
31,B,24,2288,Minutemen Toastmasters of Waltham,Active,8,12,4,1,1,0,1,1,1,4,1,7,5,0,0,1,
31,B,24,5738,Sales & Marketing Club,Active,18,20,7,5,2,0,0,1,1,4,6,5,6,1,1,0,S
31,B,24,6174,AccelOrators Advanced Toastmasters,Active,9,10,3,0,0,0,0,1,0,2,0,6,6,1,1,1,
31,B,24,6272,Lexington Toastmasters,Active,26,27,8,6,2,0,2,1,1,4,4,1,1,1,1,1,S
31,B,24,28678250,BBH Beantown Articulators,Active,21,21,1,0,0,0,0,0,0,0,0,0,0,0,1,1,
31,B,25,2753,Sylvan Speakers Club,Active,20,15,3,0,0,0,0,1,0,2,0,6,4,1,1,1,
31,B,25,3077435,Broadcasters Toastmasters,Active,20,16,8,3,2,0,3,1,3,4,4,7,5,1,1,1,
31,B,25,3163158,Dassault Systemes Boston Campus Toastmasters Club,Active,30,33,7,1,2,1,2,1,0,4,10,7,7,1,1,1,S
31,B,25,7881302,Qlik Orators,Active,12,16,1,0,1,0,1,0,0,4,0,4,0,0,1,0,
31,C,31,1295807,Somerville Toastmasters,Active,46,48,9,4,2,0,2,1,1,4,27,5,4,1,1,1,P
31,C,31,3885194,Winchester Toastmasters,Active,26,31,5,2,2,0,1,1,0,4,10,4,2,1,1,1,D
31,C,31,4025968,Toast Wizards,Active,15,19,6,2,2,0,0,1,2,4,2,7,7,1,1,1,D
31,C,31,7049346,Saturday Toastmasters of Arlington,Active,22,14,8,4,2,2,2,1,1,4,0,5,1,1,1,1,
31,C,32,6670,Speak Up Cambridge,Active,14,13,3,0,0,0,0,0,0,4,6,1,0,0,1,1,
31,C,32,977250,Crimson Toastmasters Club,Active,16,20,5,1,1,0,0,1,0,4,10,5,5,1,1,1,D
31,C,32,1928495,Novartis Toastmasters @ Cambridge,Low,13,5,0,0,0,0,0,0,0,2,0,0,2,0,0,0,
31,C,32,28678055,Toast in Common,Active,21,14,2,0,0,0,0,0,0,0,0,0,4,1,1,1,
31,C,33,7831,Humor And Drama Toastmasters,Active,10,9,2,1,0,0,0,0,0,0,0,6,7,1,0,1,
31,C,33,8843,Toastmasters @ MIT,Active,9,9,2,0,0,0,0,0,0,4,3,5,5,0,0,1,
31,C,33,680823,Tuesday Toastmasters at MIT Club,Active,22,20,5,1,1,0,1,1,2,4,16,2,1,1,1,1,D
31,C,33,6423576,Takeda Toastmasters,Active,25,20,9,4,2,2,2,1,0,4,5,5,5,1,1,1,P
31,C,33,28676929,BMS Toastmasters at CMX,Active,16,20,2,0,0,0,0,0,0,4,10,0,0,0,1,0,
31,C,34,4975343,AKAToasts,Active,15,19,4,0,1,0,0,0,0,4,5,6,6,1,1,1,
31,C,34,7032755,Toastmasters Google Cambridge,Active,8,8,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
31,C,34,7301975,The Toastologists,Ineligible,16,0,2,1,1,0,0,1,1,2,0,0,0,1,0,0,
31,C,34,28676919,Moderna-Cambridge,Active,16,16,2,0,0,0,0,0,0,4,12,2,0,1,1,0,
31,C,35,1867,Talk Of The Town Club,Active,24,27,5,1,0,0,1,1,0,4,7,5,5,1,1,1,D
31,C,35,2263055,Watertown Saturday Toastmasters,Active,14,11,2,2,1,0,0,0,0,4,2,2,1,1,1,1,
31,C,35,6935140,Boston College Toastmasters Club,Active,19,27,5,0,2,0,0,0,0,4,8,4,4,1,1,1,D
31,C,35,7754658,Newton Voices Toastmasters,Active,23,20,5,2,2,2,1,0,0,4,2,6,5,1,1,1,D
31,C,35,28678764,CCC Toastmasters,Active,30,30,1,0,0,0,0,0,0,0,0,0,0,0,1,1,
31,D,41,1074,Boston Toastmasters,Active,30,28,5,1,0,0,1,1,0,4,24,6,6,1,1,1,D
31,D,41,3991,Boston Seaport Toastmasters,Active,17,12,5,1,1,0,1,1,1,4,10,3,6,1,1,1,
31,D,41,6384,John Hancock Club,Suspended,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
31,D,41,6454,Copley Square Toastmasters,Active,12,11,2,0,1,0,0,0,0,4,0,5,2,1,1,1,
31,D,42,3757,TM at the FRB - Boston Club,Active,13,13,3,1,1,0,1,0,0,4,6,2,3,1,1,1,
31,D,42,2908808,FactMasters,Active,15,18,3,2,0,0,0,0,0,4,7,5,1,1,1,1,
31,D,42,4340726,Toastmasters General,Active,16,9,6,4,2,0,1,1,1,0,0,4,4,1,1,1,
31,D,42,7890364,Quick Toast,Suspended,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
31,D,43,7057227,LEADA@Liberty Toastmasters,Active,33,35,6,1,1,0,1,1,2,4,18,4,4,1,1,1,D
31,D,43,7116868,Unified Voices,Active,9,8,1,0,0,0,0,0,0,1,0,2,1,1,1,1,
31,D,43,28676359,Toastmasters@Pier4,Active,19,12,1,0,0,0,0,0,0,2,0,0,0,1,1,1,
31,D,43,28677354,Beantown Toasters Toastmasters,Active,31,18,4,0,0,0,0,0,0,4,8,4,4,1,0,1,
31,D,44,7625,E.P.A. Club,Active,21,10,1,1,1,0,0,0,0,3,0,5,4,1,1,0,
31,D,44,8387,Boston Speech Party Toastmasters Club,Active,12,12,2,0,0,0,0,0,0,4,3,3,2,0,1,1,
31,D,44,1971671,Boston University Medical Campus,Active,8,8,1,0,0,0,0,0,0,4,3,2,0,0,0,1,
31,D,44,28675787,East Coast Toastmasters,Active,31,13,2,0,0,0,0,0,0,3,0,0,5,1,0,1,
31,D,45,2389888,Northeastern University Toastmasters,Active,8,8,2,0,0,0,0,0,0,4,0,3,0,0,1,1,
31,D,45,3574270,Advanced Access,Active,16,16,6,0,2,0,2,1,1,3,0,5,4,1,1,1,
31,D,45,3686963,Toast with Friends,Active,27,20,5,3,1,0,0,1,2,4,5,3,4,1,1,1,D
31,D,45,6943872,Optum Tech Toasts,Active,21,15,2,0,0,0,0,0,0,4,2,0,0,1,1,1,
31,E,51,727120,Village Toastmasters Club,Active,18,16,2,1,1,0,0,0,0,4,3,0,2,1,1,1,
31,E,51,5870865,Unibank Toastmasters,Active,20,16,2,1,0,0,0,0,0,2,0,7,6,1,1,1,
31,E,51,7759162,FLEXcon Toastmasters,Suspended,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
31,E,51,28677455,West Coast/Central Toastmasters,Active,21,18,4,0,0,0,0,0,0,4,4,0,4,1,0,1,
31,E,52,2277,Central Club,Active,17,11,3,1,1,0,4,1,0,2,0,5,3,1,1,1,
31,E,52,5574,Early Risers Toastmasters Club,Active,8,9,4,1,1,0,2,1,0,1,0,4,4,1,1,1,
31,E,52,994078,AbbVie Bioresearch Toastmasters,Active,21,19,2,0,0,0,1,0,0,4,3,2,2,1,1,1,
31,E,52,6978693,Seven Hills Advanced Toastmasters,Active,8,9,2,0,0,0,0,0,0,1,0,6,6,1,1,1,
31,E,53,4495,Paul Revere Toastmasters,Active,11,14,5,1,1,0,0,1,0,4,5,5,5,1,1,1,D
31,E,53,5414,Articulators Club,Active,15,16,5,3,2,0,0,1,1,2,0,6,6,1,1,1,
31,E,53,5073971,Shrewsbury Toastmasters,Active,35,35,10,4,2,3,4,1,8,4,20,7,7,1,1,1,P
31,E,53,6751480,Otis Street Orators,Active,21,18,4,0,0,0,0,1,0,4,5,1,3,1,1,1,
31,E,54,3555,Staples Club,Active,12,28,3,2,1,0,0,0,0,4,16,4,2,1,1,1,
31,E,54,7163,3Talkers Club,Active,13,16,7,1,2,0,3,1,2,4,3,5,4,1,1,1,S
31,E,54,1154970,Speakeasy,Active,15,14,1,0,0,0,0,0,0,2,0,2,1,1,1,1,
31,E,54,5991864,Boroughs Toastmasters,Active,13,17,5,0,2,1,0,0,0,4,5,5,4,1,1,1,D
31,E,55,2352,Sun Life Club,Active,17,10,3,0,0,0,0,1,1,3,0,7,3,1,1,1,
31,E,55,3993,Framingham / Natick Toastmasters,Active,45,28,10,4,2,5,6,1,6,4,11,7,7,1,1,1,P
31,E,55,4735,Boston West Toastmasters Club,Active,25,31,10,4,2,2,2,1,1,4,13,7,7,1,1,1,P
31,E,55,6430390,Metrowest Toastmasters,Active,20,20,9,5,2,2,2,1,3,4,2,5,6,1,1,1,P
31,F,61,8310,Upper Cape Toastmasters,Active,22,21,6,1,1,0,1,1,2,4,4,6,4,1,1,1,D
31,F,61,1174738,South Coast Toastmasters,Active,11,15,7,3,2,1,2,1,3,4,2,5,5,1,1,1,S
31,F,61,1329712,Outermost Toast,Active,14,15,3,2,1,0,0,0,0,4,1,5,6,1,1,1,
31,F,61,7959859,V.O.L.U.M.E. Toastmasters,Active,12,11,4,2,2,1,0,0,0,4,1,4,4,1,1,1,
31,F,62,3345,Advanced Orators Club,Active,15,11,8,4,2,2,4,1,3,3,0,6,6,1,1,1,
31,F,62,4652,Network Voice Club,Active,22,21,9,4,2,0,2,1,2,4,5,7,4,1,1,1,P
31,F,62,1118652,South Shore Toastmasters,Active,20,23,5,1,1,0,0,1,0,4,8,7,4,1,1,1,D
31,F,62,4389390,Amazon Boston Toastmasters,Active,14,9,4,2,1,0,1,1,2,4,5,3,1,0,0,1,
31,F,63,1625,Achievers Toastmasters Club,Active,15,14,5,0,1,0,2,1,0,4,3,4,4,1,1,1,
31,F,63,8612,Spirited Speakers,Active,10,10,2,1,1,0,0,1,0,1,0,5,4,1,1,0,
31,F,63,9771,Fox Vox Club,Active,7,9,0,1,1,0,0,0,0,3,0,3,3,0,0,1,
31,F,63,1576564,Toastmasters in Motion,Active,20,20,10,4,2,2,4,1,6,4,5,6,5,1,1,1,P
31,F,64,675,Quincy Toastmasters Club,Active,37,42,10,6,2,2,4,1,4,4,13,7,7,1,1,1,P
31,F,64,849,Quannapowitt Toastmasters,Active,9,9,0,0,0,0,0,0,0,3,0,0,0,1,1,0,
31,F,64,8331,Blue Masters Toastmasters Club,Active,10,10,0,0,0,0,0,0,0,0,0,1,1,0,1,0,
31,F,64,5930724,JP Toastmasters,Active,18,16,6,4,1,0,1,1,1,4,2,4,5,1,1,1,
31,F,65,2685,Tri-County Talkers Toastmasters Club,Active,14,17,5,3,1,0,2,0,0,4,6,5,4,1,1,1,D
31,F,65,3926,Norwood Toastmasters Club,Active,16,23,6,3,2,0,1,1,0,4,10,6,5,1,1,1,D
31,F,65,873714,Point32Health Toastmasters Club,Ineligible,18,0,1,0,0,0,0,0,0,4,0,2,0,1,0,0,
31,F,65,28677456,South East Toastmasters,Active,22,13,2,0,0,0,0,0,0,0,0,0,5,1,0,1,
31,G,71,854,Ocean State Club,Active,17,13,8,2,2,0,2,1,3,4,6,7,6,1,1,1,
31,G,71,843267,FM Toastmasters,Active,20,13,4,0,1,0,1,1,0,4,1,4,4,1,1,1,
31,G,71,849200,East Coast Toast,Active,8,8,2,2,0,0,0,0,0,2,0,5,5,1,0,2,
31,G,71,1427152,Rhode Island Active Toastmasters,Active,21,40,10,4,2,3,6,1,1,4,24,6,6,1,1,1,P
31,G,72,1109,Island Foghorns Toastmasters Club,Active,12,15,9,4,2,2,2,1,3,4,1,7,7,1,1,1,P
31,G,72,1172,Whaling City Club,Active,14,14,7,0,2,0,2,1,2,4,1,4,4,1,1,1,
31,G,72,4750180,Fall River Innovators,Active,20,15,8,4,2,1,4,1,6,4,0,4,4,1,1,1,
31,G,72,28675592,Celldex Toastmasters,Active,16,13,1,1,1,0,0,0,0,3,0,5,6,1,1,0,
31,G,73,5288,Mutually Speaking Toastmasters Club,Active,10,8,1,0,0,0,0,0,0,0,0,3,4,1,1,1,
31,G,73,6868,Saturday Brunch Bunch Club,Active,14,12,2,0,1,0,1,1,0,0,0,2,1,1,1,1,
31,G,73,9556,East Bay Toastmasters Club,Active,15,23,3,3,0,0,0,0,0,4,8,1,1,1,1,1,
31,G,73,7073679,CVS Health Marketing Toastmasters,Active,20,25,5,1,2,0,0,0,0,4,6,7,7,1,1,1,D
31,G,73,28677501,Ocean State Orators,Active,24,19,3,2,1,0,0,0,0,4,7,0,2,0,1,1,
31,G,74,4641,Speech Invaders Club,Active,13,18,9,4,2,1,3,1,6,4,6,5,7,1,1,1,P
31,G,74,5464,Voice of Franklin Club,Active,14,24,5,4,0,0,0,0,0,4,13,6,4,1,1,1,D
31,G,74,743989,Dell EMC Hopkinton,Active,9,12,5,1,0,0,1,1,1,4,2,7,5,1,1,1,D
31,G,74,1257890,Franklin 5,Active,12,10,2,0,0,0,0,0,0,4,3,2,6,0,1,1,
31,G,74,28677736,Ocean State Speaking Network,Active,22,16,0,0,0,0,0,0,0,1,0,1,2,0,0,1,
Month of Jun, As of 07/01/2025,,,,,,,,,,,,,,,,,,,,,
