District,Division,Area,Club,Club Name,October Renewals,April Renewals,Nov Visit award,May Visit award,Membership to date,Club Goals Met,Distinguished Club,Area Club Base,Area Paid Club Goal for Dist.,Area Paid Club Goal for Select Dist.,Area Paid Club Goal for Pres. Dist.,Total Paid Area Clubs,Area Dist. Club Goal for Dist.,Area Dist. Club Goal for Select Dist.,Area Dist. Club Goal for Pres. Dist.,Total Dist. Area Clubs,Distinguished Area,Division Club Base,Division Paid Club Goal for Dist.,Division Paid Club Goal for Select Dist.,Division Paid Club Goal for Pres. Dist.,Total Paid Division Clubs,Division Dist. Club Goal for Dist.,Division Dist. Club Goal for Select Dist.,Division Dist. Club Goal for Pres. Dist.,Total Dist. Division Clubs,Distinguished Division,Charter Date/Suspend Date
31,D,42,7625,E.P.A. Club,0,0,1,0,7,0,,5,5,5,6,4,3,4,4,0,,19,19,19,20,16,9,10,11,0,,
31,D,42,2908808,FactMasters,1,0,1,0,18,2,,5,5,5,6,4,3,4,4,0,,19,19,19,20,16,9,10,11,0,,
31,D,42,4340726,Toastmasters General,1,0,1,0,11,1,,5,5,5,6,4,3,4,4,0,,19,19,19,20,16,9,10,11,0,,
31,D,42,7057227,LEADA@Liberty Toastmasters,1,0,1,0,31,5,,5,5,5,6,4,3,4,4,0,,19,19,19,20,16,9,10,11,0,,
31,D,42,28677354,Beantown Toasters Toastmasters,1,0,1,0,22,3,,5,5,5,6,4,3,4,4,0,,19,19,19,20,16,9,10,11,0,,
31,D,43,3757,TM at the FRB - Boston Club,1,0,1,0,14,3,,5,5,5,6,5,3,4,4,0,,19,19,19,20,16,9,10,11,0,,
31,D,43,3991,Boston Seaport Toastmasters,1,0,1,0,12,2,,5,5,5,6,5,3,4,4,0,,19,19,19,20,16,9,10,11,0,,
31,D,43,7116868,Unified Voices,1,0,1,0,10,1,,5,5,5,6,5,3,4,4,0,,19,19,19,20,16,9,10,11,0,,
31,D,43,28676359,Toastmasters@Pier4,1,0,1,0,20,3,,5,5,5,6,5,3,4,4,0,,19,19,19,20,16,9,10,11,0,,
31,D,43,28678250,BBH Beantown Articulators,1,0,1,0,21,1,,5,5,5,6,5,3,4,4,0,,19,19,19,20,16,9,10,11,0,,
31,D,44,1971671,Boston University Medical Campus,1,0,1,0,8,0,,5,5,5,6,4,3,4,4,0,,19,19,19,20,16,9,10,11,0,,
31,D,44,3574270,Advanced Access,1,0,1,0,16,2,,5,5,5,6,4,3,4,4,0,,19,19,19,20,16,9,10,11,0,,
31,D,44,3686963,Toast with Friends,1,0,1,0,21,5,,5,5,5,6,4,3,4,4,0,,19,19,19,20,16,9,10,11,0,,
31,D,44,6935140,Boston College Toastmasters Club,1,0,1,0,23,3,,5,5,5,6,4,3,4,4,0,,19,19,19,20,16,9,10,11,0,,
31,D,44,6943872,Optum Tech Toasts,0,0,1,0,0,0,,5,5,5,6,4,3,4,4,0,,19,19,19,20,16,9,10,11,0,,
31,E,51,727120,Village Toastmasters Club,1,0,1,0,15,1,,4,4,4,5,4,2,3,3,0,,20,20,20,21,20,9,10,11,0,,
31,E,51,5870865,Unibank Toastmasters,1,0,1,0,10,0,,4,4,4,5,4,2,3,3,0,,20,20,20,21,20,9,10,11,0,,
31,E,51,28677455,West Coast/Central Toastmasters,1,0,1,0,18,1,,4,4,4,5,4,2,3,3,0,,20,20,20,21,20,9,10,11,0,,
31,E,51,28678135,Wilson Toastmasters,1,0,1,0,16,0,,4,4,4,5,4,2,3,3,0,,20,20,20,21,20,9,10,11,0,,
31,E,52,2277,Central Club,1,0,1,0,9,3,,4,4,4,5,4,2,3,3,0,,20,20,20,21,20,9,10,11,0,,
31,E,52,5574,Early Risers Toastmasters Club,1,0,1,0,9,3,,4,4,4,5,4,2,3,3,0,,20,20,20,21,20,9,10,11,0,,
31,E,52,994078,AbbVie Bioresearch Toastmasters,1,0,1,0,22,3,,4,4,4,5,4,2,3,3,0,,20,20,20,21,20,9,10,11,0,,
31,E,52,6978693,Seven Hills Advanced Toastmasters,1,0,1,0,9,0,,4,4,4,5,4,2,3,3,0,,20,20,20,21,20,9,10,11,0,,
31,E,53,4495,Paul Revere Toastmasters,1,0,1,0,14,2,,4,4,4,5,4,2,3,3,0,,20,20,20,21,20,9,10,11,0,,
31,E,53,5414,Articulators Club,1,0,1,0,17,4,,4,4,4,5,4,2,3,3,0,,20,20,20,21,20,9,10,11,0,,
31,E,53,5073971,Shrewsbury Toastmasters,1,0,1,0,39,5,,4,4,4,5,4,2,3,3,0,,20,20,20,21,20,9,10,11,0,,
31,E,53,6751480,Otis Street Orators,1,0,1,0,16,3,,4,4,4,5,4,2,3,3,0,,20,20,20,21,20,9,10,11,0,,
31,E,54,3555,Staples Club,1,0,1,0,32,4,,4,4,4,5,4,2,3,3,0,,20,20,20,21,20,9,10,11,0,,
31,E,54,7163,3Talkers Club,1,0,1,0,14,3,,4,4,4,5,4,2,3,3,0,,20,20,20,21,20,9,10,11,0,,
31,E,54,1154970,Speakeasy,1,0,1,0,11,1,,4,4,4,5,4,2,3,3,0,,20,20,20,21,20,9,10,11,0,,
31,E,54,5991864,Boroughs Toastmasters,1,0,1,0,18,1,,4,4,4,5,4,2,3,3,0,,20,20,20,21,20,9,10,11,0,,
31,E,55,3993,Framingham / Natick Toastmasters,1,0,1,0,30,8,,4,4,4,5,4,2,3,3,0,,20,20,20,21,20,9,10,11,0,,
31,E,55,4641,Speech Invaders Club,1,1,1,0,25,7,,4,4,4,5,4,2,3,3,0,,20,20,20,21,20,9,10,11,0,,
31,E,55,743989,Dell EMC Hopkinton,1,0,1,0,11,4,,4,4,4,5,4,2,3,3,0,,20,20,20,21,20,9,10,11,0,,
31,E,55,6430390,Metrowest Toastmasters,1,0,1,0,18,2,,4,4,4,5,4,2,3,3,0,,20,20,20,21,20,9,10,11,0,,
31,F,61,8310,Upper Cape Toastmasters,1,0,0,0,18,4,,4,4,4,5,4,2,3,3,0,,20,20,20,21,20,9,10,11,0,,
31,F,61,1174738,South Coast Toastmasters,1,0,1,0,14,4,,4,4,4,5,4,2,3,3,0,,20,20,20,21,20,9,10,11,0,,
31,F,61,1329712,Outermost Toast,1,0,1,0,14,2,,4,4,4,5,4,2,3,3,0,,20,20,20,21,20,9,10,11,0,,
31,F,61,7959859,V.O.L.U.M.E. Toastmasters,1,0,1,0,8,1,,4,4,4,5,4,2,3,3,0,,20,20,20,21,20,9,10,11,0,,
31,F,62,2685,Tri-County Talkers Toastmasters Club,1,0,1,0,17,1,,4,4,4,5,4,2,3,3,0,,20,20,20,21,20,9,10,11,0,,
31,F,62,3345,Advanced Orators Club,1,0,1,0,12,3,,4,4,4,5,4,2,3,3,0,,20,20,20,21,20,9,10,11,0,,
31,F,62,4652,Network Voice Club,1,1,1,0,20,6,,4,4,4,5,4,2,3,3,0,,20,20,20,21,20,9,10,11,0,,
31,F,62,1118652,South Shore Toastmasters,1,0,1,0,21,4,,4,4,4,5,4,2,3,3,0,,20,20,20,21,20,9,10,11,0,,
31,F,63,1625,Achievers Toastmasters Club,1,0,1,0,11,3,,4,4,4,5,4,2,3,3,0,,20,20,20,21,20,9,10,11,0,,
31,F,63,8612,Spirited Speakers,1,0,1,0,11,3,,4,4,4,5,4,2,3,3,0,,20,20,20,21,20,9,10,11,0,,
31,F,63,9771,Fox Vox Club,1,0,1,0,8,3,,4,4,4,5,4,2,3,3,0,,20,20,20,21,20,9,10,11,0,,
31,F,63,1576564,Toastmasters in Motion,1,0,1,0,17,4,,4,4,4,5,4,2,3,3,0,,20,20,20,21,20,9,10,11,0,,
31,F,64,675,Quincy Toastmasters Club,1,0,1,0,44,9,,4,4,4,5,4,2,3,3,0,,20,20,20,21,20,9,10,11,0,,
31,F,64,849,Quannapowitt Toastmasters,1,0,1,0,10,1,,4,4,4,5,4,2,3,3,0,,20,20,20,21,20,9,10,11,0,,
31,F,64,8331,Blue Masters Toastmasters Club,1,0,1,0,15,1,,4,4,4,5,4,2,3,3,0,,20,20,20,21,20,9,10,11,0,,
31,F,64,5930724,JP Toastmasters,1,0,1,0,11,2,,4,4,4,5,4,2,3,3,0,,20,20,20,21,20,9,10,11,0,,
31,F,65,3926,Norwood Toastmasters Club,1,0,1,0,30,5,,4,4,4,5,4,2,3,3,0,,20,20,20,21,20,9,10,11,0,,
31,F,65,4735,Boston West Toastmasters Club,1,0,1,0,31,7,,4,4,4,5,4,2,3,3,0,,20,20,20,21,20,9,10,11,0,,
31,F,65,873714,Point32Health Toastmasters Club,0,0,0,0,0,0,,4,4,4,5,4,2,3,3,0,,20,20,20,21,20,9,10,11,0,, Susp 09/30/25
31,F,65,4389390,Amazon Boston Toastmasters,1,0,1,0,12,3,,4,4,4,5,4,2,3,3,0,,20,20,20,21,20,9,10,11,0,,
31,F,65,28678764,CCC Toastmasters,0,0,1,0,0,0,,4,4,4,5,4,2,3,3,0,,20,20,20,21,20,9,10,11,0,, Susp 12/01/25
31,F,65,28679111,Union Capital Boston Toastmasters Club,0,0,1,0,24,2,,4,4,4,5,4,2,3,3,0,,20,20,20,21,20,9,10,11,0,,Charter 10/08/25
31,G,71,854,Ocean State Toastmasters,1,0,1,0,11,2,,4,4,4,5,3,2,3,3,0,,16,16,16,17,15,8,8,9,0,,
31,G,71,843267,FM Toastmasters,1,0,1,0,15,2,,4,4,4,5,3,2,3,3,0,,16,16,16,17,15,8,8,9,0,,
31,G,71,849200,East Coast Toast,0,0,1,0,7,0,,4,4,4,5,3,2,3,3,0,,16,16,16,17,15,8,8,9,0,,
31,G,71,1427152,Rhode Island Active Toastmasters,1,0,1,0,42,7,,4,4,4,5,3,2,3,3,0,,16,16,16,17,15,8,8,9,0,,
31,G,72,1109,Island Foghorns Toastmasters Club,1,0,1,0,11,5,,4,4,4,5,4,2,3,3,0,,16,16,16,17,15,8,8,9,0,,
31,G,72,1172,Whaling City Club,1,0,1,0,12,2,,4,4,4,5,4,2,3,3,0,,16,16,16,17,15,8,8,9,0,,
31,G,72,4750180,Fall River Innovators,1,0,1,0,18,5,,4,4,4,5,4,2,3,3,0,,16,16,16,17,15,8,8,9,0,,
31,G,72,28675592,Celldex Toastmasters,1,0,1,0,11,1,,4,4,4,5,4,2,3,3,0,,16,16,16,17,15,8,8,9,0,,
31,G,73,5288,Mutually Speaking Toastmasters Club,1,0,1,0,8,1,,4,4,4,5,4,2,3,3,0,,16,16,16,17,15,8,8,9,0,,
31,G,73,9556,East Bay Toastmasters Club,1,0,1,0,26,5,,4,4,4,5,4,2,3,3,0,,16,16,16,17,15,8,8,9,0,,
31,G,73,28677501,Ocean State Orators,1,0,1,0,13,3,,4,4,4,5,4,2,3,3,0,,16,16,16,17,15,8,8,9,0,,
31,G,73,28677736,Ocean State Speaking Network,1,0,1,0,15,0,,4,4,4,5,4,2,3,3,0,,16,16,16,17,15,8,8,9,0,,
31,G,74,5464,Voice of Franklin Club,1,0,1,0,19,2,,4,4,4,5,4,2,3,3,0,,16,16,16,17,15,8,8,9,0,,
31,G,74,6868,Saturday Brunch Bunch Club,1,0,1,0,12,2,,4,4,4,5,4,2,3,3,0,,16,16,16,17,15,8,8,9,0,,
31,G,74,1257890,Franklin 5,1,0,1,0,9,1,,4,4,4,5,4,2,3,3,0,,16,16,16,17,15,8,8,9,0,,
31,G,74,7073679,CVS Health Marketing Toastmasters,1,0,1,0,21,4,,4,4,4,5,4,2,3,3,0,,16,16,16,17,15,8,8,9,0,,
Month of Jan, As of 02/01/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
